nom,french_attribut,CO2,main_type,sous_type
Courge melonnette,pulpe,0.62,Fruits et Légumes,Légumes
Courge musquée,pulpe,0.6,Fruits et Légumes,Légumes
Courge spaghetti,pulpe,0.88,Fruits et Légumes,Légumes
Courgette,pulpe et peau,0.75,Fruits et Légumes,Légumes
Courgette,purée,0.85,Fruits et Légumes,Légumes
Couronne de Noël (Brioche) aux fruits confits,préemballé,3.38,Produits céréaliers,Pains et viennoiseries
Court-bouillon pour poissons,déshydraté,9.43,Aides culinaires et ingrédients divers,Aides culinaires
Couscous (semoule de blé dur roulée précuite à la vapeur),cru,1.67,Produits céréaliers,"Pâtes, riz et céréales"
Couscous à la viande ou au poulet,allégé,2.98,Plats composés,Plats composés
Cresson alénois,cru,0.95,Fruits et Légumes,Légumes
Cresson de fontaine,cru,0.83,Fruits et Légumes,Légumes
Crevette,cru,7.64,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Crevette,surgelé,10.9,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Crevette rose,cru,10.8,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Croissant,sans précision,1.7,Produits céréaliers,Pains et viennoiseries
Croissant aux amandes,artisanal,2.42,Produits céréaliers,Pains et viennoiseries
Croissant ordinaire,artisanal,1.7,Produits céréaliers,Pains et viennoiseries
Croque-monsieur,rayon frais,4.42,Plats composés,Sandwichs
Crosne,surgelé,0.66,Fruits et Légumes,Légumes
Crottin de chèvre,au lait cru précision,7.91,Produits Laitiers,
Croûton à l'ail aux fines herbes ou aux oignons,préemballé,1.01,Produits céréaliers,Pains et viennoiseries
Croûtons nature,préemballés,1.01,Produits céréaliers,Pains et viennoiseries
Crème anglaise,préemballé,1.75,Aides culinaires et ingrédients divers,Sauces
Crème aux ufs,(petit pot de crème chocolat vanille etc.)  rayon frais,3.64,Produits Laitiers,Produits laitiers frais et assimilés
Crème brûlée,rayon frais,1.92,Produits Laitiers,Produits laitiers frais et assimilés
Crème caramel,rayon frais,1.8,Produits Laitiers,Produits laitiers frais et assimilés
Crème chantilly,sous pression,1.71,Produits Laitiers,Crèmes et spécialités à base de crème
Crème de lait,15 à 20% MG,2.5,Produits Laitiers,Crèmes et spécialités à base de crème
Crème de lait,30% MG,3.62,Produits Laitiers,Crèmes et spécialités à base de crème
Crème de marrons vanillée,appertisée,1.52,Fruits et Légumes,Fruits à coque et graines oléagineuses
Crème dessert,allégée en MG,1.61,Produits Laitiers,Produits laitiers frais et assimilés
Crème dessert au café,rayon frais,1.61,Produits Laitiers,Produits laitiers frais et assimilés
Crème dessert au caramel,rayon frais,1.61,Produits Laitiers,Produits laitiers frais et assimilés
Crème dessert au chocolat,appertisée,3.35,Produits Laitiers,Produits laitiers frais et assimilés
Crème dessert au chocolat,rayon frais,3.45,Produits Laitiers,Produits laitiers frais et assimilés
Crème dessert à la vanille,appertisée,1.5,Produits Laitiers,Produits laitiers frais et assimilés
Crème dessert à la vanille,rayon frais,1.61,Produits Laitiers,Produits laitiers frais et assimilés
Crêpe,nature,1.78,Produits céréaliers,Gâteaux et pâtisseries
Crêpe dentelle (pour apéritif) au fromage,préemballé,1.59,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Crêpe dentelle au chocolat,préemballé,6.74,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Crêpe maison,fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes-fourrée à la confiture,1.62,Produits céréaliers,
Crêpe ou Galette complète,(uf jambon  fromage),3.82,Plats composés,"Pizzas, tartes et crêpes salées"
Crêpe préemballée,fourrée au sucre,1.62,Produits céréaliers,Gâteaux et pâtisseries
Crêpe préemballée,fourrée fraise,1.63,Produits céréaliers,Gâteaux et pâtisseries
Crêpe préemballée,fourrée chocolat,4.55,Produits céréaliers,Gâteaux et pâtisseries
Cucurbitacées,graine,3.52,Fruits et Légumes,Fruits à coque et graines oléagineuses
Cumin,graine,9.19,Aides culinaires et ingrédients divers,Epices
Curcuma,poudre,9.19,Aides culinaires et ingrédients divers,Epices
Curry,poudre,9.19,Aides culinaires et ingrédients divers,Epices
Céleri branche,cru,0.68,Fruits et Légumes,Légumes
Céleri branche,appertisé,1.38,Fruits et Légumes,Légumes
Céleri rémoulade,préemballé,1.16,Plats composés,Salades composées et crudités
Céleri-rave,cru,0.46,Fruits et Légumes,Légumes
Céleri-rave,purée,0.63,Fruits et Légumes,Légumes
Céréales chocolatées pour petit déjeuner,non fourrées,3.4,Produits céréaliers,Céréales de petit-déjeuner et biscuits
