id,status,french_name,english_name,french_attribut,english_attribut,type,french_tag,english_tag,unit,validity_range,comment,CO2,main_type,sous_type
40819,Valide générique,Liégeois ou viennois,Custard topped with whipped cream (chocolate,(chocolat café  caramel ou vanille) rayon frais,coffee, Lait et produits laitiers > Produits laitiers frais et assimilés,"Agribalyse,produits laitiers frais et assimilés,Liégeois ou viennois","Agribalyse,Custard topped with whipped cream (chocolate,produits laitiers frais et assimilés",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PP - Préparation : Pas de préparation,4.63,Lait et produits laitiers,Produits laitiers frais et assimilés
41677,Valide générique,Lieu jaune ou colin,Pollack,cru,raw," Viandes, oeufs, poissons > Poissons crus","Agribalyse,Lieu jaune ou colin,poissons crus","Agribalyse,Pollack,poissons crus",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,10.8,"Viandes, oeufs, poissons",Poissons crus
41678,Valide générique,Lieu noir,Saithe,cru,raw," Viandes, oeufs, poissons > Poissons crus","Agribalyse,Lieu noir,poissons crus","Agribalyse,Saithe,poissons crus",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,5.88,"Viandes, oeufs, poissons",Poissons crus
41679,Valide générique,Lieu noir,Saithe,cuit,cooked," Viandes, oeufs, poissons > Poissons cuits","Agribalyse,Lieu noir,poissons cuits","Agribalyse,Saithe,poissons cuits",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PP - Préparation : Four,7.16,"Viandes, oeufs, poissons",Poissons cuits
41680,Valide générique,Lieu noir,Saithe,surgelé,frozen," Viandes, oeufs, poissons > Poissons crus","Agribalyse,Lieu noir,poissons crus","Agribalyse,Saithe,poissons crus",kgCO2e/kg de poids net,24/02/2026,Livraison : Congelé - Matériau d'emballage : LDPE - Préparation : Pas de préparation,4.35,"Viandes, oeufs, poissons",Poissons crus
41681,Valide générique,Lieu ou colin d'Alaska,Alaska pollock,cru,raw," Viandes, oeufs, poissons > Poissons crus","Agribalyse,Lieu ou colin d'Alaska,poissons crus","Agribalyse,Alaska pollock,poissons crus",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,10.8,"Viandes, oeufs, poissons",Poissons crus
41682,Valide générique,Lieu ou colin d'Alaska,Alaska pollock,fumé,smoked," Viandes, oeufs, poissons > Poissons cuits","Agribalyse,Lieu ou colin d'Alaska,poissons cuits","Agribalyse,Alaska pollock,poissons cuits",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PVC - Préparation : Pas de préparation,10.7,"Viandes, oeufs, poissons",Poissons cuits
41683,Valide générique,Limande,Common dab,crue,raw," Viandes, oeufs, poissons > Poissons crus","Agribalyse,Limande,poissons crus","Agribalyse,Common dab,poissons crus",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,10.8,"Viandes, oeufs, poissons",Poissons crus
41684,Valide générique,Limande-sole,Lemon sole,crue,raw," Viandes, oeufs, poissons > Poissons crus","Agribalyse,Limande-sole,poissons crus","Agribalyse,Lemon sole,poissons crus",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,10.8,"Viandes, oeufs, poissons",Poissons crus
41685,Valide générique,Limande-sole,Lemon sole,cuite à la vapeur,steamed," Viandes, oeufs, poissons > Poissons cuits","Agribalyse,Limande-sole,poissons cuits","Agribalyse,Lemon sole,poissons cuits",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PP - Préparation : Four,13.2,"Viandes, oeufs, poissons",Poissons cuits
41686,Valide générique,Limande-sole,Lemon sole,panée,breaded," Viandes, oeufs, poissons > Produits à base de poissons et produits de la mer","Agribalyse,Limande-sole,produits à base de poissons et produits de la mer","Agribalyse,Lemon sole,produits à base de poissons et produits de la mer",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,13.3,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
39893,Valide générique,Limonade,Lemonade,non sucrée,without sugar, Boissons > Boissons sans alcool,"Agribalyse,Limonade,boissons sans alcool","Agribalyse,Lemonade,boissons sans alcool",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PET - Préparation : Pas de préparation,0.512,Boissons,Boissons sans alcool
39894,Valide générique,Limonade,Lemonade,sucrée,with sugar, Boissons > Boissons sans alcool,"Agribalyse,Limonade,boissons sans alcool","Agribalyse,Lemonade,boissons sans alcool",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PET - Préparation : Pas de préparation,0.512,Boissons,Boissons sans alcool
39895,Valide générique,Limonade,Lemonade,sucrée,with sugar and artificial sweetener(s), Boissons > Boissons sans alcool,"Agribalyse,Limonade,boissons sans alcool","Agribalyse,Lemonade,boissons sans alcool",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PET - Préparation : Pas de préparation,0.512,Boissons,Boissons sans alcool
40454,Valide générique,Lin,Flaxseed,brun,brown," Fruits, légumes, légumineuses et oléagineux > Fruits à coque et graines oléagineuses","Agribalyse,Lin,fruits à coque et graines oléagineuses","Agribalyse,Flaxseed,fruits à coque et graines oléagineuses",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.6,"Fruits, légumes, légumineuses et oléagineux",Fruits à coque et graines oléagineuses
40455,Valide générique,Lin,Flaxseed,graine,," Fruits, légumes, légumineuses et oléagineux > Fruits à coque et graines oléagineuses","Agribalyse,Lin,fruits à coque et graines oléagineuses","Agribalyse,Flaxseed,fruits à coque et graines oléagineuses",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.6,"Fruits, légumes, légumineuses et oléagineux",Fruits à coque et graines oléagineuses
41687,Valide générique,Lingue bleue ou Lingue,Blue ling,crue,raw," Viandes, oeufs, poissons > Poissons crus","Agribalyse,Lingue bleue ou Lingue,poissons crus","Agribalyse,Blue ling,poissons crus",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,10.8,"Viandes, oeufs, poissons",Poissons crus
39896,Valide générique,Liqueur,Liqueur,,, Boissons > Boissons alcoolisées,"Agribalyse,Liqueur,boisson alcoolisées","Agribalyse,Liqueur,boisson alcoolisées",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (long) - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur,1.39,Boissons,Boissons alcoolisées
40456,Valide générique,Litchi,Lychee,pulpe,pulp," Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Litchi","Agribalyse,fruits,Lychee",kgCO2e/kg de poids net,24/02/2026,Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation,0.536,"Fruits, légumes, légumineuses et oléagineux",Fruits
40820,Valide générique,Livarot,Livarot cheese,,from cow's milk, Lait et produits laitiers > Fromages,"Agribalyse,Livarot,fromages","Agribalyse,Livarot cheese,fromages",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : LDPE - Préparation : Pas de préparation,5.35,Lait et produits laitiers,Fromages
41688,Valide générique,Lotte ou baudroie,Anglerfish,crue,raw," Viandes, oeufs, poissons > Poissons crus","Agribalyse,Lotte ou baudroie,poissons crus","Agribalyse,Anglerfish,poissons crus",kgCO2e/kg de poids net,24/02/2026,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,10.8,"Viandes, oeufs, poissons",Poissons crus
